Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachineRole/DefaultPolicy/Resource","Suppressed","[Resource::*] CloudWatch Logs log-delivery + X-Ray trace APIs require Resource:* by AWS design — these actions (CreateLogDelivery, PutTraceSegments, etc.) have no resource-level ARN to scope to. This statement is generated by the CDK StateMachine construct when logging+tracing are enabled (both of which are security improvements we deliberately turned on).","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-SF1","cda-iceberg-orchestration/StateMachine/Resource","Compliant","N/A","Error","The Step Function does not log ""ALL"" events to CloudWatch Logs."
"AwsSolutions-SF2","cda-iceberg-orchestration/StateMachine/Resource","Compliant","N/A","Error","The Step Function does not have X-Ray tracing enabled."
"AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachine/DistributedMapPolicy/Resource","Suppressed","[Resource::arn:aws:states:us-east-1:111111111111:execution:{""Fn::Select"":[6,{""Fn::Split"":["":"",{""Ref"":""StateMachine2E01A3A5""}]}]}:*] Distributed Map child-execution grant (states:StartExecution/DescribeExecution/StopExecution). Child execution IDs are runtime-generated; the ARN is scoped to this state machine's own executions. AWS-required for Distributed Map; no narrower form.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachine/DistributedMapPolicy/Resource","Suppressed","[Resource::arn:aws:states:us-east-1:111111111111:execution:{""Fn::Select"":[6,{""Fn::Split"":["":"",{""Ref"":""StateMachine2E01A3A5""}]}]}/*:*] Distributed Map child-execution grant (states:StartExecution/DescribeExecution/StopExecution). Child execution IDs are runtime-generated; the ARN is scoped to this state machine's own executions. AWS-required for Distributed Map; no narrower form.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","cda-iceberg-orchestration/StateMachine/EventsRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachine/EventsRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachine/EventsRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","cda-iceberg-orchestration/ReconListRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole grants the function write access to its own CloudWatch log group only. AWS-recommended logging baseline; not a broad data-plane grant.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cda-iceberg-orchestration/ReconListRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-orchestration/ReconListRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","cda-iceberg-orchestration/ReconListFn/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-SF1","cda-iceberg-orchestration/ReconStateMachine/Resource","Compliant","N/A","Error","The Step Function does not log ""ALL"" events to CloudWatch Logs."
"AwsSolutions-SF2","cda-iceberg-orchestration/ReconStateMachine/Resource","Compliant","N/A","Error","The Step Function does not have X-Ray tracing enabled."
"AwsSolutions-IAM5","cda-iceberg-orchestration/ReconStateMachine/DistributedMapPolicy/Resource","Suppressed","[Resource::arn:aws:states:us-east-1:111111111111:execution:{""Fn::Select"":[6,{""Fn::Split"":["":"",{""Ref"":""ReconStateMachine8641C349""}]}]}:*] Distributed Map child-execution grant (states:StartExecution/DescribeExecution/StopExecution). Child execution IDs are runtime-generated; the ARN is scoped to this state machine's own executions. AWS-required for Distributed Map; no narrower form.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-orchestration/ReconStateMachine/DistributedMapPolicy/Resource","Suppressed","[Resource::arn:aws:states:us-east-1:111111111111:execution:{""Fn::Select"":[6,{""Fn::Split"":["":"",{""Ref"":""ReconStateMachine8641C349""}]}]}/*:*] Distributed Map child-execution grant (states:StartExecution/DescribeExecution/StopExecution). Child execution IDs are runtime-generated; the ARN is scoped to this state machine's own executions. AWS-required for Distributed Map; no narrower form.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","cda-iceberg-orchestration/ReconStateMachine/EventsRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cda-iceberg-orchestration/ReconStateMachine/EventsRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","cda-iceberg-orchestration/ReconStateMachine/EventsRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
